Kabupaten,Tahun,Metode,Aktual,Prediksi,MSE,MAPE
KAB TAPANULI UTARA,2023,Random Forest,27.4,27.166666666666668,0.05444444444444323,0.8515815085158055
KAB TOBA SAMOSIR,2023,SVR,28.0,24.8,10.239999999999995,11.428571428571425
KAB TOBA SAMOSIR,2023,Decision Tree,28.0,24.8,10.239999999999995,11.428571428571425
KAB TOBA SAMOSIR,2023,Random Forest,28.0,24.8,10.239999999999995,11.428571428571425
KOTA BINJAI,2023,SVR,19.4,-24.17099368264454,1898.4314904930504,224.59275094146673
KOTA BINJAI,2023,Decision Tree,19.4,18.7,0.489999999999999,3.6082474226804093
KOTA BINJAI,2023,Random Forest,19.4,19.7,0.09000000000000043,1.5463917525773232
KOTA GUNUNGSITOLI,2023,SVR,18.9,34.61943923532396,247.10076987304234,83.17163616573525
KOTA GUNUNGSITOLI,2023,Decision Tree,18.9,26.3,54.76000000000003,39.153439153439166
KOTA GUNUNGSITOLI,2023,Random Forest,18.9,20.566666666666666,2.7777777777777817,8.818342151675491
KOTA MEDAN,2023,SVR,5.8,17.379232128725338,134.0786166909051,199.64193325388513
KOTA MEDAN,2023,Decision Tree,5.8,15.4,92.16000000000003,165.51724137931038
KOTA MEDAN,2023,Random Forest,5.8,16.9,123.20999999999995,191.37931034482756
KOTA PADANGSIDIMPUAN,2023,SVR,26.1,24.34690887800181,3.073328482028881,6.716824222215297
KOTA PADANGSIDIMPUAN,2023,Decision Tree,26.1,28.8,7.2899999999999965,10.344827586206893
KOTA PADANGSIDIMPUAN,2023,Random Forest,26.1,29.900000000000002,14.440000000000005,14.559386973180077
KOTA PEMATANG SIANTAR,2023,SVR,7.7,13.67569353958766,35.708913279069705,77.60640960503456
KOTA PEMATANG SIANTAR,2023,Decision Tree,7.7,14.3,43.56000000000001,85.71428571428572
KOTA PEMATANG SIANTAR,2023,Random Forest,7.7,14.533333333333333,46.69444444444444,88.74458874458874
KOTA SIBOLGA,2023,SVR,10.6,18.180430424153062,57.46292541542538,71.51349456748173
KOTA SIBOLGA,2023,Decision Tree,10.6,25.8,231.04000000000002,143.39622641509436
KOTA SIBOLGA,2023,Random Forest,10.6,18.266666666666666,58.77777777777777,72.32704402515722
KOTA TANJUNG BALAI,2023,SVR,5.7,29.77709334153379,579.7064237769307,422.40514634269806
KOTA TANJUNG BALAI,2023,Decision Tree,5.7,26.9,449.44,371.92982456140345
KOTA TANJUNG BALAI,2023,Random Forest,5.7,26.633333333333336,438.2044444444446,367.25146198830413
KOTA TEBING TINGGI,2023,SVR,10.4,19.49289306634378,82.68070431596277,87.43166409945941
KOTA TEBING TINGGI,2023,Decision Tree,10.4,17.3,47.61000000000001,66.34615384615384
KOTA TEBING TINGGI,2023,Random Forest,10.4,18.066666666666666,58.77777777777777,73.71794871794872
