Kabupaten,Tahun,PrevalensiStunting,BayiBBLR,IbuNifasVitA,K4,IPM,MinumLayak,SanitasiLayak
KAB TAPANULI SELATAN,2022,39.4,0.25,99.96,95.28,70.92,73.17,52.9
KAB TAPANULI SELATAN,2021,30.8,0.11,99.89,94,70.33,67.39,46.41
KAB TAPANULI TENGAH,2023,23.8,1.13,99.53,85.6,70.91,78.31,60.46
KAB TAPANULI TENGAH,2022,30.5,0.71,98.4,72.57,70.31,79.28,58.52
KAB TAPANULI TENGAH,2021,25.3,0.57,96.87,86,69.61,68.81,57.56
KAB TAPANULI UTARA,2023,27.4,2.1,94.6,68.7,74.65,90.83,91.21
KAB TAPANULI UTARA,2022,27.4,1.93,99.33,62.98,74.14,92.89,87.76
KAB TAPANULI UTARA,2021,26.7,0.96,98.96,60,73.76,89.06,83.79
KAB TOBA SAMOSIR,2023,28,1.04,96.1,82,76.38,96.04,93.26
KAB TOBA SAMOSIR,2022,24.8,0.99,93.75,88.19,75.96,96.05,89.37
KAB TOBA SAMOSIR,2021,24.8,0.66,97.53,84,75.39,95.04,89.54
KOTA BINJAI,2023,19.4,0.02,97.31,92.9,77.6,64.47,95.44
KOTA BINJAI,2022,18.7,0.4,99.14,102.82,76.95,98.79,95.53
KOTA BINJAI,2021,21.7,0,100,103,76.01,99.76,95.21
KOTA GUNUNGSITOLI,2023,18.9,5.02,99.62,53,70.68,51.33,55.37
KOTA GUNUNGSITOLI,2022,17.7,3.74,100,52.54,70.23,77.18,50.29
KOTA GUNUNGSITOLI,2021,26.3,5.5,99.93,52,69.61,74.11,45.13
KOTA MEDAN,2023,5.8,0.69,90.66,92.5,82.19,98.05,91.97
KOTA MEDAN,2022,15.4,0.04,85.09,91.3,81.76,98.53,92.18
KOTA MEDAN,2021,19.9,0.16,95.7,88,81.21,98.8,92.71
KOTA PADANGSIDIMPUAN,2023,26.1,1.06,99.88,74.5,76.44,80.11,44.79
KOTA PADANGSIDIMPUAN,2022,28.8,0.41,100,74.39,76.05,63.5,45.65
KOTA PADANGSIDIMPUAN,2021,32.1,0.33,99.94,73,75.48,54.13,51.33
KOTA PEMATANG SIANTAR,2023,7.7,0.91,97.56,90.7,80.46,99.96,91.22
KOTA PEMATANG SIANTAR,2022,14.3,0.64,87.65,81.6,79.7,99.84,92.33
KOTA PEMATANG SIANTAR,2021,15,0.56,36.44,77,79.17,99.78,88.49
KOTA SIBOLGA,2023,10.6,1.37,100,99.8,75.2,88.85,35.05
KOTA SIBOLGA,2022,14.5,1.17,100,99.44,74.74,97.69,42.05
KOTA SIBOLGA,2021,25.8,1.92,99.32,97,73.94,92.4,32.33
KOTA TANJUNG BALAI,2023,5.7,1.4,89.51,59,70.59,100,94.37
KOTA TANJUNG BALAI,2022,26.9,0.8,88.97,67.53,69.86,87.59,93.51
KOTA TANJUNG BALAI,2021,26.1,0.91,102.33,71,68.94,87.2,89.07
KOTA TEBING TINGGI,2023,10.4,2.07,99.87,80.1,76.98,99.13,92.76
KOTA TEBING TINGGI,2022,19.6,0.63,100,90.79,76.17,99.71,90.59
KOTA TEBING TINGGI,2021,17.3,0.33,97.26,88,75.42,99.35,95.88
